Number;event;err
10615.680919;task-clock;0.35%
121;context-switches;13.56%
18;cpu-migrations;8.54%
4498;page-faults;1.52%
30400673007;cycles;0.34%
21071010831;stalled-cycles-frontend;0.31%
11278435930;stalled-cycles-backend;0.40%
26939008270;instructions;0.17%
2670214542;branches;0.46%
128241;branch-misses;0.60%
7406561430;L1-dcache-loads;0.06%
381264351;L1-dcache-load-misses;0.02%
56984715;LLC-loads;0.22%
37232410;LLC-load-misses;0.26%
0.89;instructions-per-cycle;0.0051
0.65;LLC-cache-miss-rate;0.0048
0.05;L1-cache-miss-rate;0.0008
